reg_mark,vehicle_effective_date,vehicle
VE5261,,LGAX2C135H1818538
VG2245,,WVWZZZAUZJW904231
VH3999,,JTDZZ9H310L000524
VH6827,,JALCYH52SA7000068
VJ1812,,LGAX2C134H1818711
WD5604,,LZZ1BBMG5EW869795
WE2657,,WV2ZZZ2KZJX160920
WH5923,,LZZ1BBMG5EW871630
WH6160,,LZZ1BBMG0EW872071
WM2396,,NCP100-2016057
WM4626,,NCP100-0134371
WN7424,,LZZ1BBMG1FW110837
WP8952,,LZZ1BBMGXFW110836
WP9760,,LZZ1BBMG8FW110835
WU935,,ZA9S5020E6AC38281
WX6499,,WV2ZZZ2KZKX098541
XJ7153,,WMAN08ZZ2LY410927
XK6859,,WMAN08ZZ4LY410833
XL2301,,WMAN08ZZ3LY410614
XL3136,,WMAN08ZZ9LY410911
XL6531,,WMAN08ZZ5LY410775
SC1169,,MPATFR86JDT000803
SC1243,,MPATFR86JDT001025
SC1451,,MPATFR86JDT001024
SC1670,,MPATFR86JCT101113
SC1949,,MPATFR86JDT000712
SC749,,MPATFR86JCT101112
SC784,,MPATFR86JDT000713
WC6538,,V93W1200157
WC6616,,GC27-800141
WC6861,,GC27-800129
WC6977,,GC27-800142
WC7570,,GC27-800133
WC7791,,GC27-800134
WC7918,,GC27-800145
WC7989,,GC27-800136
WC8123,,V93W1200153
XT5031,,MMCJLKL60LH132461
XV2254,,MMCJLKL60LH133842
XV5734,,MMCJLKL60LH133859
XV9581,,MMCJLKL60LH133832
XW2239,,MMCJLKL60LH133838
XW3727,,MMCJLKL60LH133888
NJ9584,,WMAH21ZZ28M493806
FX425,,JAANPR66LP-7102099
LW6696,,JAANPR70L47101051
PU6749,,JT7X2RB7107003071
TZ2663,,JN1MC2E26Z0005490
RY5565,,YV2TH60AXDB640783
SJ6369,,PKC8E-01295
RY8244,,YV2TH60A9DB640788
GS9698,,JTDBT42EX09070780
NA8332,,JTDBT22E300169384
NZ5472,,JAAN1R75K87100201
PH143,,JT7X2RB7107001934
PH5912,,JTFHT02P900060290
PU7114,,JAANPR75HB7101375
SM7782,,JT7X2RB8007000179
TZ5342,,LVBV4JBB5GJ004082
VL6274,,JAAN1R75KJ7100192
WF4284,,JTDBT22E400246344
WF6045,,LGAX2C139J1820234
WM7330,,JTDBT22E700014935
XC2118,,LJ11KCBE4L1112027
XC5122,,JTDBT22EX03307288
XE3403,,JTDBT22E203245000
XE624,,JTDBT22E400154621
XF2777,,LJ11KCBE8L1112032
XF2864,,JTFSAFAP908024441
XF3617,,JTFSAFAP108024319
XF3746,,JTFSAFAPX08024223
XF5117,,LJ11KCBE6L1117603
XF6064,,LJ11KCBE8L1112029
XF6762,,JTDBT22E200324488
XF6910,,LJ11KCBD1L1122294
XF8153,,LJ11KCBD1L1122263
XH4953,,LJ11KRBD1L1125005
XH4975,,LJ11KRBDXL1125004
XK2543,,LJ11KCBD0M1111837
XK2611,,LJ11KCBD3M1112044
XK2896,,LJ11KCBD2M1111841
XK3291,,LJ11KCBD5M1112045
XK3854,,LJ11KCBD1M1112043
XK4264,,LJ11KCBD9M1111786
XL1391,,LJ11KCBD0M1111840
XP7395,,JALFXZ777G7000031
XR7264,,S402M-0059298
XU8960,,JALCYH52TG7000024
VF6741,,V93W-1000314
VF7535,,V93W-1000317
XH3149,,VR3ERHNS3LJ547514
XH3177,,VR3ERHNS3MJ542769
XH3337,,VR3ERHNS3LJ836040
XH3837,,VR3ERHNS3LJ797492
XJ5175,,VR3ERHNS3MJ623483
XJ5773,,VR3ERHNS3MJ623482
XR6532,,VR3ERHNS3MJ782949
XR6716,,VR3ERHNS3MJ782944
XR6729,,VR3ERHNS3MJ785620
XR7032,,VR3ERHNS3MJ782946
XR7195,,VR3ERHNS3MJ782948
XR7302,,VR3ERHNS3MJ782942
XR7768,,VR3ERHNS3MJ782951
XR7934,,VR3ERHNS3MJ782947
XR7998,,VR3ERHNS3MJ782945
XR8209,,VR3ERHNS3MJ782943
XR8257,,VR3ERHNS3MJ785619
XR8304,,VR3ERHNS3MJ785621
XR9478,,VR3ERHNS3MJ782950
PH6067,,JTFHT02PX00060413
XF5823,,LJ11KCBD1L1121016
XF6069,,LJ11KCBD5L1122265
PF4105,,NCP20-0346348
PU4950,,NCP21-0067025
