in_charge,print_number,mvmd_remarks,district,usage,purpose,type,type_detail,make,maintainance,maintainance_remarks,maintainance_end_date,maintenance_mileage,vehicle_class,license,vehicle_model,chassis_number,engine_number,cylinder_capacity,color,body_type,gross_weight,registered_owner,owner_registration_date,manufacture_year,first_registration_date,rearview_mirror,後備匙,spare_key,car_loan,remarks,new_car,gratia_payment_scheme
Adam,W406,"機械部,待報廢,拆零件,泊落馬洲-己準備報廢",大欖,CK Fung,工程車,私家車,8座位私家車(NOAH),TOYOTA,,,,,Private Car,2,ZRR70RARXEPFT,JT7X2RB7107003098,3ZR-A714226,1987,YELLOW,STATION WAGGON,,偉金建築,2011-04-10,2011,2011-04-15,N,-,Y,,,,
Adam,W237,,各區,鄧永誠,防疫隊,私家車,7座位私家車,TOYOTA,"新記包保養
(1/2018)",,,,Private Car,2,SIENTA,NCP81-0115605,1NZ-B817234,1496,SILVER,STATION WAGGON,,偉金建築,2011-10-21,2005,2011-10-21,,-,Y,,"29/8/2022-已收資產轉移, 由03HY 轉去07HY. 2/4/2020-收回PX2718,交RB8428鄧永成使用(有交收紙)
11/3/2020-收回RB8428, 交UA3013給1901YL偉通使用
26/11/2018-收到交收紙此車於29/10/2018調至元朗使用(科文調職)",,
Adam,W163,,北大,公司,員工車,電單車,電單車,SYM,,,,,Motorcycle,22,VS150,RFGHV15WYCS004714,DN806449,150,YELLOW,SOLO,,偉金建築,2012-10-10,2012,2012-10-10,,-,"Y (匙盒)
Y (鳳凰卷)",,"13/8/2018-車輛交03HY使用,已泊小濠灣廠",,
Adam,W500,,大欖,陳偉倫,巡路車,巡路車,5座位私家車,TOYOTA,"取消包保
(6/2020)
新記包保養 (5/2018)",N/A,,,Private Car,2,PRIUS C,JTDKD3B3701028250,1NZ-6503799,1497,"YELLOW
WHITE-VAR",SALOON,,偉金建築,2013-02-26,2013,2013-02-26,,-,-,,"23/5/2019 15:15-交03HY2015使用, 收回PX6737(有交收表)。
22/5/2019-暫借龍承均使用, 即日交回。
15/5/2019-DC201206交回RX2873備用 (泊山塘)。
14/6/2018-根據2018-05月份扣數確認表更正資料*(安排為備用車)",,
Adam,W170,,大欖,各區,工程車,吊機,24噸吊機車,UD TRUCKS,,,,,Medium Goods Vehicle,19,CWB5ELSHNQ,CWB8E-00391,GH11*712837*,10837,YELLOW,LORRY CRANE,24,偉金建築,2014-01-10,2013,2014-01-10,,-,Y,,"25/3/2020-2020年3月汽車紀錄此車於03合約使用
6/3/2019-正本牌簿回機械部
18/7/2018-最新扣數方案,由1/6/2018開始扣數合約為WCCL",,
Adam,W465,,大欖,斜坡,員工車,私家車,8座位私家車(NOAH),TOYOTA,,,,,Private Car,2,ZRR70RARXEPFT,JT7X2RB7107001931,3ZR-A533457,1987,YELLOW,STATION WAGGON,,偉金建築,2010-06-18,2010,2010-06-18,,-,Y (鳳凰卷),,"8/3/2023 資產轉移 由05HY2020 轉去WCCLAD 1-11-2022 資產轉移 由MVMD 轉去05HY2020, 29-10-2022 資產轉移 由08HY2021 轉去MVMD
13-10-2022 資產轉移 由MVMD 轉去08HY0/2022 , 14/8/2018-Philip通知此車會調往大嶼山使用,需申請中石化油咭",,
Adam,,"機械部,待報廢,待更換電車(巡路車,車頭壞)-己準備報廢(電車一換一計劃)",大欖,巡路,工程車,私家車,5座位私家車,KIA,"(車輛有問題,未能使用,不用包保)
新記包保養 (5/2018)",N/A,,,Private Car,2,MORNING 1.3 A/T LX,KNABX512MGT231030,G4LAFP154453,1248,YELLOW,SALOON,,偉金建築,2016-03-08,2016,2016-03-08,N,-,Y,,"1/4/2019-輝哥通知已把TZ4003 engine 轉至TZ2827 (偉成汽車服務公司)。
23/10/2018-車有問題,待修,暫放大華街",,
Adam,W670,,大欖,各區,工程車,夾車,30噸夾車,DONGFENG,,N/A,,,Heavy Goods Vehicle,19,DFH3300A80,LGAX5DF40F3816051,78591329,8880,YELLOW,TIPPER,30,偉金建築,2016-03-04,2015,2016-03-04,,-,Y,,,,
Adam,W622,,大欖,陳偉倫,巡路車,巡路車,5座位私家車,KIA,"取消(2019/12)
新記包保養 (5/2018)",N/A,,,Private Car,2,MORNING 1.3 A/T LX,KNABX512MGT251093,G4LAFP154906,1248,YELLOW,SALOON,,偉金建築,2016-03-08,2016,2016-03-08,N,-,Y,,"9-1-2023 資產轉移, 由08HY 轉MVMD 再轉去05HY2020",,
Adam,W253,,大欖,各區,工程車,護航車 (TMA),16噸護航車,ISUZU,新記包保養 (5/2018),,,,S.P.V.,18,FVR34QC-V,JALFVR347F7000252,6HK1-664418,7790,YELLOW,TRAFFIC WARNING SIGN,16,偉金建築,2016-04-05,2014,2016-04-05,Y,N,Y,,,,
