vehicle,autotoll_number,vehicle_effective_date,vehicle_end_date
LGAX2C135H1818538,CHTC00875653,,
WVWZZZAUZJW904231,CHTC10455723,,
JTDZZ9H310L000524,CHTC00858858,,
JALCYH52SA7000068,CHTC00792020,,
LGAX2C134H1818711,CHTC00865524,,
LZZ1BBMG5EW869795,CHTC00621366,,
WV2ZZZ2KZJX160920,CHTC00841861,,
LZZ1BBMG5EW871630,,,
LZZ1BBMG0EW872071,,,
NCP100-2016057,CHTC10292259,,
NCP100-0134371,CHTC10319126,,
LZZ1BBMG1FW110837,CHTC00882178,,
LZZ1BBMGXFW110836,CHTC00868279,,
LZZ1BBMG8FW110835,CHTC00862834,,
ZA9S5020E6AC38281,CHTC00596258,,
WV2ZZZ2KZKX098541,CHTC10269409,,
WMAN08ZZ2LY410927,CHTC10289044,,
WMAN08ZZ4LY410833,CHTC10287647,,
WMAN08ZZ3LY410614,CHTC10315450,,
WMAN08ZZ9LY410911,CHTC10455844,,
WMAN08ZZ5LY410775,CHTC10300728,,
MPATFR86JDT000803,,,
MPATFR86JDT001025,,,
MPATFR86JDT001024,,,
MPATFR86JCT101113,,,
MPATFR86JDT000712,,,
MPATFR86JCT101112,,,
MPATFR86JDT000713,,,
V93W1200157,CHTC10319993,,
GC27-800141,CHTC00734654,,
GC27-800129,CHTC00749034,,
GC27-800142,CHTC10378994,,
GC27-800133,CHTC00522576,,
GC27-800134,CHTC00814715,,
GC27-800145,CHTC10302276,,
GC27-800136,CHTC00734673,,
V93W1200153,CHTC10315519,,
MMCJLKL60LH132461,CHTC00531953,,
MMCJLKL60LH133842,CHTC10358739,,
MMCJLKL60LH133859,CHTC10358740,,
MMCJLKL60LH133832,CHTC10359328,,
MMCJLKL60LH133838,CHTC10358741,,
MMCJLKL60LH133888,CHTC10391243,,
WMAH21ZZ28M493806,CHTC00853091,,
JAANPR66LP-7102099,CHTC10455855,,
JAANPR70L47101051,CHTC00566942,,
JT7X2RB7107003071,CHTC00814718,,
JN1MC2E26Z0005490,CHTC00528051,,
YV2TH60AXDB640783,CHTC10467642,,
PKC8E-01295,CHTC10455781,,
YV2TH60A9DB640788,CHTC10455759,,
JTDBT42EX09070780,CHTC10455701,,
JTDBT22E300169384,CHTC10455747,,
JAAN1R75K87100201,,,
JT7X2RB7107001934,,,
JTFHT02P900060290,CHTC10455779,,
JAANPR75HB7101375,CHTC10455758,,
JT7X2RB8007000179,CHTC10455769,,
LVBV4JBB5GJ004082,CHTC10467393,,
JAAN1R75KJ7100192,,,
JTDBT22E400246344,CHTC10455772,,
LGAX2C139J1820234,CHTC10455760,,
JTDBT22E700014935,,,
LJ11KCBE4L1112027,,,
JTDBT22EX03307288,CHTC10455770,,
JTDBT22E203245000,CHTC10467404,,
JTDBT22E400154621,CHTC10455748,,
